Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
1540000	-1.85	3.806244868633651	-1.85	19351	0.6304	0.0001	0.44222617	5.08647293249766
1550000	-2.3	3.508560958569767	-2.3	19479	0.628	0.0001	0.28076145	5.120641922619607
1560000	-2.13	3.8952663580299616	-2.13	19608	0.6255999999999999	0.0001	0.34690022	5.154852510690689
1570000	-2.57	3.691219310742725	-2.57	19733	0.6232	0.0001	0.26154408	5.189204398592313
1580000	-1.7	3.8587562763149474	-1.7	19867	0.6208	0.0001	0.22978088	5.223351456986533
1590000	-1.89	3.498271001509174	-1.89	19997	0.6184000000000001	0.0001	0.19453865	5.257569659153621
1600000	-2.53	3.8011971798369	-2.53	20130	0.616	0.0001	0.33387882	5.292288539210955
1610000	-2.83	4.190596616234972	-2.83	20257	0.6135999999999999	0.0001	0.1250258	5.3265917497211035
1620000	-2.11	3.828563699352539	-2.11	20381	0.6112	0.0001	0.24520001	5.360860454175207
1630000	-2.88	4.578820808898291	-2.88	20511	0.6088	0.0001	0.17664444	5.395086272623804
1640000	-3.19	4.601510621524197	-3.19	20638	0.6064	0.0001	0.2167679	5.429377218418651
1650000	-2.54	4.043315471243865	-2.54	20766	0.604	0.0001	0.3698777	5.4636189465390315
1660000	-2.04	3.199749990233612	-2.04	20895	0.6016	0.0001	0.35266438	5.497912139958806
1670000	-2.46	4.2152579992214	-2.46	21021	0.5992	0.0001	0.25032577	5.5326752030187185
1680000	-2.22	3.395820961122656	-2.22	21151	0.5968	0.0001	0.39364827	5.566948136621051
1690000	-2.42	3.429810490391561	-2.42	21279	0.5944	0.0001	0.2158403	5.60124995774693
1700000	-2.67	3.962461356278443	-2.67	21407	0.5920000000000001	0.0001	0.25058594	5.635526363518503
1710000	-1.96	4.017262749684168	-1.96	21530	0.5895999999999999	0.0001	0.19589108	5.669821799000104
1720000	-1.95	3.545066995135635	-1.95	21659	0.5871999999999999	0.0001	0.19704285	5.704204761518373
1730000	-2.84	3.8124008183820335	-2.84	21785	0.5848	0.0001	0.35402063	5.739060628877746
1740000	-2.19	3.8280412745946193	-2.19	21915	0.5824	0.0001	0.31239417	5.773572958972719
1750000	-2.96	3.9113169137772505	-2.96	22042	0.58	0.0001	0.17634563	5.808660864962472
1760000	-2.36	3.5539274049985887	-2.36	22173	0.5776	0.0001	0.1905574	5.843323593205876
1770000	-2.15	3.631459761583488	-2.15	22301	0.5751999999999999	0.0001	0.3641912	5.877827801903089
1780000	-2.61	3.870129196809843	-2.61	22427	0.5728	0.0001	0.214165	5.912515991330147
1790000	-2.28	4.06959457440173	-2.28	22551	0.5704	0.0001	0.28418994	5.947376183337635
1800000	-2.7	4.24381903478459	-2.7	22679	0.5680000000000001	0.0001	0.23828372	5.982167932656076
1810000	-2.24	3.9373087255128976	-2.24	22809	0.5656	0.0001	0.41621476	6.017119724551836
1820000	-2.95	4.871088174114692	-2.95	22938	0.5631999999999999	0.0001	0.36621028	6.051941959261894
1830000	-1.98	3.325597690641488	-1.98	23066	0.5608	0.0001	0.19513607	6.087507043282191
1840000	-2.32	3.63835127495958	-2.32	23190	0.5584	0.0001	0.16406268	6.122445511751705
1850000	-2.12	3.326499661806687	-2.12	23316	0.556	0.0001	0.20289169	6.15742163280646
1860000	-2.37	3.468875898616149	-2.37	23439	0.5536	0.0001	0.21834703	6.192325575881534
1870000	-2.12	3.5221584291454016	-2.12	23567	0.5512	0.0001	0.34553093	6.227334198024538
1880000	-2.06	3.759840422145599	-2.06	23701	0.5488	0.0001	0.15458755	6.262329362961981
